GENOTYPE,YEAR,LOCATION,REPNO,YIELD,,Source:,https://rdrr.io/cran/agridat/man/shafii.rapeseed.html
Bienvenu,87,GGA,R1,960.61,,,
Bienvenu,87,GGA,R2,1329.39,,,
Bienvenu,87,GGA,R3,1781.11,,,
Bienvenu,87,GGA,R4,1698.16,,,
Bridger,87,GGA,R1,1605.13,,,
Bridger,87,GGA,R2,1211.69,,,
Bridger,87,GGA,R3,1365.26,,,
Bridger,87,GGA,R4,1271.1,,,
Cascade,87,GGA,R1,1509.85,,,
Cascade,87,GGA,R2,1220.66,,,
Cascade,87,GGA,R3,1712.74,,,
Cascade,87,GGA,R4,1574.86,,,
Dwarf,87,GGA,R1,759.97,,,
Dwarf,87,GGA,R2,897.84,,,
Dwarf,87,GGA,R3,1778.87,,,
Dwarf,87,GGA,R4,1743,,,
Glacier,87,GGA,R1,1502.01,,,
Glacier,87,GGA,R2,1856.21,,,
Glacier,87,GGA,R3,1707.13,,,
Glacier,87,GGA,R4,1656.69,,,
Jet,87,GGA,R1,883.27,,,
Jet,87,GGA,R2,1170.22,,,
Jet,87,GGA,R3,904.57,,,
Jet,87,GGA,R4,1405.61,,,
Bienvenu,89,GGA,R1,1845,,,
Bienvenu,89,GGA,R2,2007.53,,,
Bienvenu,89,GGA,R3,1683.59,,,
Bienvenu,89,GGA,R4,1845,,,
Bridger,89,GGA,R1,1339.47,,,
Bridger,89,GGA,R2,1591.67,,,
Bridger,89,GGA,R3,1005.44,,,
Bridger,89,GGA,R4,1247.56,,,
Cascade,89,GGA,R1,1756.45,,,
Cascade,89,GGA,R2,2063.57,,,
Cascade,89,GGA,R3,1442.59,,,
Cascade,89,GGA,R4,1661.17,,,
Dwarf,89,GGA,R1,1471.74,,,
Dwarf,89,GGA,R2,1499.76,,,
Dwarf,89,GGA,R3,1526.66,,,
Dwarf,89,GGA,R4,1499.76,,,
Glacier,89,GGA,R1,1661.17,,,
Glacier,89,GGA,R2,2632.99,,,
