Experiment,Genotype,Environment,Repno,Yield
Experiment 1,G18,E1,2,55.53375887
Experiment 1,G10,E1,2,56.26253757
Experiment 1,G14,E1,1,53.34217863
Experiment 1,G16,E1,1,61.63232254
Experiment 1,G4,E1,1,63.53651529
Experiment 1,G13,E1,1,62.4217312
Experiment 1,G20,E1,1,56.42215212
Experiment 1,G8,E1,2,55.53169689
Experiment 1,G9,E1,2,58.91179659
Experiment 1,G15,E1,2,49.38354669
Experiment 1,G12,E1,1,58.76243235
Experiment 1,G6,E1,1,63.31038222
Experiment 1,G9,E1,1,55.44322039
Experiment 1,G3,E1,1,55.81794439
Experiment 1,G11,E1,2,60.50277752
Experiment 1,G1,E1,2,58.62748219
Experiment 1,G19,E1,1,60.26583897
Experiment 1,G7,E1,1,58.86414315
Experiment 1,G2,E1,1,47.70410907
Experiment 1,G2,E1,2,60.27342267
Experiment 1,G18,E1,1,58.09853647
Experiment 1,G3,E1,2,49.74518509
Experiment 1,G20,E1,2,55.59359572
Experiment 1,G16,E1,2,59.45936944
Experiment 1,G14,E1,2,53.98813143
Experiment 1,G1,E1,1,51.34950939
Experiment 1,G11,E1,1,59.96983672
Experiment 1,G4,E1,2,65.73221949
Experiment 1,G13,E1,2,62.4913228
Experiment 1,G8,E1,1,56.13616239
Experiment 1,G17,E1,2,58.07514095
Experiment 1,G12,E1,2,52.06825575
Experiment 1,G5,E1,2,60.28459499
Experiment 1,G10,E1,1,58.93452787
Experiment 1,G5,E1,1,53.76915579
Experiment 1,G6,E1,2,61.06947322
Experiment 1,G19,E1,2,61.72711387
Experiment 1,G3,E2,2,68.58458289
Experiment 1,G13,E2,2,79.2676568
Experiment 1,G12,E2,1,72.07494855
Experiment 1,G4,E2,1,74.05852729
Experiment 1,G14,E2,2,61.54119923
Experiment 1,G13,E2,1,70.6495996
Experiment 1,G15,E2,2,64.41845499
Experiment 1,G10,E2,2,68.23214407
Experiment 1,G6,E2,2,71.40903032
Experiment 1,G11,E2,1,74.82734592
Experiment 1,G2,E2,1,73.81820827
Experiment 1,G4,E2,2,79.75448079
Experiment 1,G8,E2,2,57.76219689
Experiment 1,G9,E2,1,75.41229209
Experiment 1,G10,E2,1,74.64364197
Experiment 1,G17,E2,1,70.01010035
Experiment 1,G7,E2,1,69.82035915
Experiment 1,G16,E2,1,75.26216454
Experiment 1,G18,E2,2,60.03029817
Experiment 1,G8,E2,1,62.55033689
Experiment 1,G2,E2,2,65.65755227
Experiment 1,G18,E2,1,63.48073297
Experiment 1,G14,E2,1,58.63485773
Experiment 1,G3,E2,1,64.92834729
Experiment 1,G12,E2,2,66.15267365
Experiment 1,G19,E2,1,66.76640817
Experiment 1,G1,E2,2,69.08525579
Experiment 1,G6,E2,1,70.68872752
Experiment 1,G5,E2,1,71.80170739
Experiment 1,G16,E2,2,72.77203434
Experiment 1,G17,E2,2,69.58020865
Experiment 1,G11,E2,2,79.80522712
Experiment 1,G5,E2,2,77.25974089
Experiment 1,G15,E2,1,71.46103569
Experiment 1,G19,E2,2,74.65286137
Experiment 1,G20,E2,1,69.52946232
Experiment 1,G1,E2,1,72.62952029
Experiment 1,G9,E2,2,73.32915379
Experiment 1,G7,E2,2,72.48878065
Experiment 1,G20,E2,2,66.64379012
Experiment 1,G4,E3,1,56.33081069
Experiment 1,G6,E3,2,54.82228882
Experiment 1,G18,E3,1,48.11496717
Experiment 1,G2,E3,2,53.71471177
Experiment 1,G12,E3,2,46.46999815
Experiment 1,G3,E3,1,48.13803549
Experiment 1,G19,E3,1,48.42589887
Experiment 1,G9,E3,1,60.06481639
Experiment 1,G15,E3,2,44.30127809
Experiment 1,G5,E3,2,56.43609029
Experiment 1,G8,E3,2,55.81184769
Experiment 1,G1,E3,2,59.75388469
Experiment 1,G2,E3,1,52.36570537
Experiment 1,G6,E3,1,45.79947022
Experiment 1,G1,E3,1,57.47178579
Experiment 1,G18,E3,2,49.25594227
Experiment 1,G20,E3,1,42.79260752
Experiment 1,G15,E3,1,44.40417849
Experiment 1,G14,E3,2,51.80030833
Experiment 1,G14,E3,1,42.15562633
Experiment 1,G11,E3,2,55.13322052
Experiment 1,G12,E3,1,46.15668725
Experiment 1,G7,E3,1,49.78779255
Experiment 1,G20,E3,2,49.53347592
Experiment 1,G3,E3,2,40.87820409
Experiment 1,G5,E3,1,46.78902909
Experiment 1,G19,E3,2,52.98994797
Experiment 1,G13,E3,2,64.1328221
Experiment 1,G17,E3,2,46.98673065
Experiment 1,G17,E3,1,39.93493055
Experiment 1,G16,E3,2,53.18764954
Experiment 1,G8,E3,1,42.12207959
Experiment 1,G16,E3,1,55.88343184
Experiment 1,G11,E3,1,49.63622762
Experiment 1,G9,E3,2,59.44280429
Experiment 1,G13,E3,1,50.7541344
Experiment 1,G10,E3,1,48.94501057
Experiment 1,G4,E3,2,66.59973529
Experiment 1,G7,E3,2,51.13679895
Experiment 1,G10,E3,2,52.57373667
Experiment 1,G1,E4,2,64.17830449
Experiment 1,G2,E4,1,56.89540477
Experiment 1,G3,E4,1,51.90178119
Experiment 1,G4,E4,2,60.30258769
Experiment 1,G5,E4,1,54.53124329
Experiment 1,G6,E4,2,61.40984752
